run,relative_path,metric_rows,datasets,algorithms,seeds,metrics,ks,all_finite
V100_P0_MINI_I05_R04,study_runs/V100_P0_MINI_I05_R04/checkpoint/429968f4a2d5464781e553f6868ecfb7/generated/checkpoints/results.json,1,MovieLens100K-51d35041,ImplicitMFScorer,11,NDCG,10,True
V100_P0_MINI_I05_R04,study_runs/V100_P0_MINI_I05_R04/checkpoint/0ddf2f48ecfe411c968dfd5ac55fc592_seed/generated/checkpoints/results.json,10,MovieLens100K-938abed0,ItemKNNScorer,13|21|42|7|87,NDCG|Precision,10,True
V100_P0_MINI_I05_R04,study_runs/V100_P0_MINI_I05_R04/checkpoint/0ddf2f48ecfe411c968dfd5ac55fc592/generated/checkpoints/results.json,10,MovieLens100K-938abed0,ItemKNNScorer,13|21|42|7|87,NDCG|Precision,10,True
V100_P0_MINI_I05_R03,study_runs/V100_P0_MINI_I05_R03/workspace/checkpoints/results.json,108,Amazon2014VideoGames-32d2823b|MovieLens100K-938abed0,ImplicitMFScorer|ItemKNNScorer|PopScorer,1|2|3|4|5,NDCG|Recall,1|10|5,True
V100_P0_MINI_I05_R03,study_runs/V100_P0_MINI_I05_R03/checkpoint/b643b16303794cfcbfd8ec1958ea27d3/generated/checkpoints/results.json,5,MovieLens100K-938abed0,ImplicitMFScorer,11|22|33|44|55,NDCG,10,True
V100_P0_MINI_I05_R03,study_runs/V100_P0_MINI_I05_R03/checkpoint/b3e9be9f1f4d407d9c70764b3ade04ac/generated/checkpoints/results.json,5,MovieLens100K-938abed0,ImplicitMFScorer,1|2|3|4|5,NDCG,10,True
V100_P0_MINI_I05_R03,study_runs/V100_P0_MINI_I05_R03/checkpoint/ae5c302c20744599a5005e342e748a23/generated/checkpoints/results.json,1,MovieLens100K-938abed0,ImplicitMFScorer,1,NDCG,10,True
V100_P0_MINI_I05_R03,study_runs/V100_P0_MINI_I05_R03/checkpoint/a9663d9dfecc44c6998034c55e22bfe0_seed/generated/checkpoints/results.json,10,MovieLens100K-938abed0,ItemKNNScorer,1|2|3|4|5,NDCG|Recall,10,True
V100_P0_MINI_I05_R03,study_runs/V100_P0_MINI_I05_R03/checkpoint/a9663d9dfecc44c6998034c55e22bfe0/generated/checkpoints/results.json,10,MovieLens100K-938abed0,ItemKNNScorer,1|2|3|4|5,NDCG|Recall,10,True
V100_P0_MINI_I05_R03,study_runs/V100_P0_MINI_I05_R03/checkpoint/64f1c4aae39d4cc68f747732d8232c0e/generated/checkpoints/results.json,10,MovieLens100K-938abed0,ImplicitMFScorer,1|2|3|4|5,NDCG|Recall,10,True
V100_P0_MINI_I05_R03,study_runs/V100_P0_MINI_I05_R03/checkpoint/4bae3cfa9f6b4a4bb4b360ee0c788768/generated/checkpoints/results.json,5,MovieLens100K-938abed0,ImplicitMFScorer,1|2|3|4|5,NDCG,10,True
V100_P0_MINI_I05_R02,study_runs/V100_P0_MINI_I05_R02/checkpoint/8b4ad2ac4960487da7beea3df7b51b4e_seed/generated/checkpoints/results.json,2,MovieLens100K-c0b4b14e,ItemKNNScorer,42,NDCG|Precision,10,True
V100_P0_MINI_I05_R02,study_runs/V100_P0_MINI_I05_R02/checkpoint/8b4ad2ac4960487da7beea3df7b51b4e_iteration2/generated/checkpoints/results.json,90,MovieLens100K-d6f3ec58,ImplicitMFScorer|ItemKNNScorer|PopScorer,11|22|33|44|55,NDCG|Precision,1|10|5,True
V100_P0_MINI_I05_R02,study_runs/V100_P0_MINI_I05_R02/checkpoint/8b4ad2ac4960487da7beea3df7b51b4e/generated/checkpoints/results.json,2,MovieLens100K-c0b4b14e,ItemKNNScorer,42,NDCG|Precision,10,True
V100_P0_MINI_I05_R01,study_runs/V100_P0_MINI_I05_R01/checkpoint/b6c02039931c42fcb8d6e8ec9185ebc2_seed/generated/checkpoints/results.json,2,MovieLens100K-c0b4b14e,ItemKNNScorer,42,NDCG|Precision,10,True
V100_P0_MINI_I05_R01,study_runs/V100_P0_MINI_I05_R01/checkpoint/b6c02039931c42fcb8d6e8ec9185ebc2_iteration1/generated/checkpoints/results.json,18,MovieLens100KLocal-938abed0,ImplicitMFScorer|ItemKNNScorer|PopScorer,11,NDCG|Precision,1|10|5,True
V100_P0_MINI_I05_R01,study_runs/V100_P0_MINI_I05_R01/checkpoint/b6c02039931c42fcb8d6e8ec9185ebc2/generated/checkpoints/results.json,2,MovieLens100K-c0b4b14e,ItemKNNScorer,42,NDCG|Precision,10,True
V100_P0_MINI_I05_R01,study_runs/V100_P0_MINI_I05_R01/checkpoint/aac562b51b2148e2b73a824edba0b9b3/generated/checkpoints/results.json,2,MovieLens100K-938abed0,ImplicitMFScorer,42,NDCG|Precision,10,True
V100_P0_MINI_I05_R01,study_runs/V100_P0_MINI_I05_R01/checkpoint/977d7ec4949847409c030b314e2dd362/generated/checkpoints/results.json,2,MovieLens100K-938abed0,ItemKNNScorer,42,NDCG|Precision,10,True
V100_P0_GPT54_I05_R02,study_runs/V100_P0_GPT54_I05_R02/checkpoint/ef50db923528453ab7281e09a7ab63ce_seed/generated/checkpoints/results.json,1,LocalMovieLens100K-c0b4b14e,PopScorer,11,NDCG,10,True
V100_P0_GPT54_I05_R02,study_runs/V100_P0_GPT54_I05_R02/checkpoint/ef50db923528453ab7281e09a7ab63ce/generated/checkpoints/results.json,1,LocalMovieLens100K-c0b4b14e,PopScorer,11,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d_seed/generated/seed_87/checkpoints/results.json,1,MovieLens100K-c437b6f6,PopScorer,87,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d_seed/generated/seed_7/checkpoints/results.json,1,MovieLens100K-c437b6f6,PopScorer,7,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d_seed/generated/seed_42/checkpoints/results.json,1,MovieLens100K-c437b6f6,PopScorer,42,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d_seed/generated/seed_29/checkpoints/results.json,1,MovieLens100K-c437b6f6,PopScorer,29,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d_seed/generated/seed_13/checkpoints/results.json,1,MovieLens100K-c437b6f6,PopScorer,13,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d_iteration1/generated/MovieLens100K/seed_87/checkpoints/results.json,18,MovieLens100K-c437b6f6,ImplicitMFScorer|ItemKNNScorer|PopScorer,87,NDCG|Precision,1|10|5,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d_iteration1/generated/MovieLens100K/seed_7/checkpoints/results.json,18,MovieLens100K-c437b6f6,ImplicitMFScorer|ItemKNNScorer|PopScorer,7,NDCG|Precision,1|10|5,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d_iteration1/generated/MovieLens100K/seed_42/checkpoints/results.json,18,MovieLens100K-c437b6f6,ImplicitMFScorer|ItemKNNScorer|PopScorer,42,NDCG|Precision,1|10|5,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d_iteration1/generated/MovieLens100K/seed_29/checkpoints/results.json,18,MovieLens100K-c437b6f6,ImplicitMFScorer|ItemKNNScorer|PopScorer,29,NDCG|Precision,1|10|5,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d_iteration1/generated/MovieLens100K/seed_13/checkpoints/results.json,18,MovieLens100K-c437b6f6,ImplicitMFScorer|ItemKNNScorer|PopScorer,13,NDCG|Precision,1|10|5,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d/generated/seed_87/checkpoints/results.json,1,MovieLens100K-c437b6f6,PopScorer,87,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d/generated/seed_7/checkpoints/results.json,1,MovieLens100K-c437b6f6,PopScorer,7,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d/generated/seed_42/checkpoints/results.json,1,MovieLens100K-c437b6f6,PopScorer,42,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d/generated/seed_29/checkpoints/results.json,1,MovieLens100K-c437b6f6,PopScorer,29,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/e7849e11813743659c7d53436c07af0d/generated/seed_13/checkpoints/results.json,1,MovieLens100K-c437b6f6,PopScorer,13,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/1a0e67a0ed0f49838458b10f36953597/generated/seed_87/checkpoints/results.json,1,MovieLens100K-c0b4b14e,PopScorer,87,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/1a0e67a0ed0f49838458b10f36953597/generated/seed_7/checkpoints/results.json,1,MovieLens100K-c0b4b14e,PopScorer,7,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/1a0e67a0ed0f49838458b10f36953597/generated/seed_42/checkpoints/results.json,1,MovieLens100K-c0b4b14e,PopScorer,42,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/1a0e67a0ed0f49838458b10f36953597/generated/seed_29/checkpoints/results.json,1,MovieLens100K-c0b4b14e,PopScorer,29,NDCG,10,True
V100_P0_GPT54_I05_R01,study_runs/V100_P0_GPT54_I05_R01/checkpoint/1a0e67a0ed0f49838458b10f36953597/generated/seed_13/checkpoints/results.json,1,MovieLens100K-c0b4b14e,PopScorer,13,NDCG,10,True
SMOKE_V100_P0_I01,study_runs/SMOKE_V100_P0_I01/checkpoint/b3f868150f1e48848df96473d4a5fb4e/generated/checkpoints/results.json,0,,,,,,True
SMOKE_V100_P0_I01,study_runs/SMOKE_V100_P0_I01/checkpoint/8ae5c9e5771d4ce2be8d8a2a7b4228f0/generated/checkpoints/results.json,2,MovieLens100K-938abed0,ImplicitMFScorer,11,HR|NDCG,10,True
SMOKE_V100_P0_I01,study_runs/SMOKE_V100_P0_I01/checkpoint/2b04050768474782874f3d86300c385f_seed/generated/checkpoints/results.json,10,MovieLens100K-938abed0,ImplicitMFScorer,11|22|33|44|55,NDCG|Precision,10,True
SMOKE_V100_P0_I01,study_runs/SMOKE_V100_P0_I01/checkpoint/2b04050768474782874f3d86300c385f_iteration1/generated/checkpoints/results.json,24,Amazon2014VideoGames-32d2823b|MovieLens100K-938abed0,ImplicitMFScorer|ItemKNNScorer|PopScorer,11,NDCG|Precision,1|10|5,True
SMOKE_V100_P0_I01,study_runs/SMOKE_V100_P0_I01/checkpoint/2b04050768474782874f3d86300c385f/generated/checkpoints/results.json,10,MovieLens100K-938abed0,ImplicitMFScorer,11|22|33|44|55,NDCG|Precision,10,True
PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03/checkpoint/7c7aff516dc44e82bafcc25d1c7616c7/generated/checkpoints/results.json,1,MovieLens100K-938abed0,ImplicitMFScorer,42,Precision,5,True
PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03/checkpoint/471cd3e59f7e4ff38fc386479e829987_seed/generated/checkpoints/results.json,0,,,,,,True
PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02/checkpoint/6e70678e1e2941428904dcc5520f6672/generated/checkpoints/results.json,5,MovieLens100K-36ca8c6a,ImplicitMFScorer,0|1|2|3|4,Precision,5,True
