run,relative_path,bytes,has_out_log,out_log_bytes,out_traceback,out_program_crashed,mentions_run_omnirec,imports_omnirec,uses_mock_or_fallback,loads_u_data,loads_video_games,loads_lastfm,mentions_als,mentions_itemknn,mentions_pop,mentions_ndcg,mentions_precision,mentions_recall,explicit_download,seed_literals
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/a086ad426c6941eb80d27438d0dea564_iteration1/code.py,25163,True,896,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,"[7, 13, 29, 42, 87]"
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/a086ad426c6941eb80d27438d0dea564_iteration2/code.py,27077,True,3876,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,"[7, 13, 29, 42, 87]"
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/a086ad426c6941eb80d27438d0dea564_seed/code.py,15542,True,3822,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,42
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/cece619f54c64a789f73505345029ad7/code.py,16413,True,2068,True,True,True,True,True,True,False,False,False,False,True,True,True,False,False,42
V100_P2_GPT54_I05_R01,study_runs/V100_P2_GPT54_I05_R01/checkpoint/f1c687701cc54963b2ac238df363b990/code.py,9880,True,383,False,True,True,True,False,True,False,False,False,True,False,True,True,False,False,42
V100_P1_NANO_I05_R05,study_runs/V100_P1_NANO_I05_R05/checkpoint/0b6ea20ff97249468b6671093ae5cbe7/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R05,study_runs/V100_P1_NANO_I05_R05/checkpoint/138c2527bd0145a285ef4efeb98072fc/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R05,study_runs/V100_P1_NANO_I05_R05/checkpoint/279449ab8ca84cd4ba46c9645bcea2fc/code.py,1598,True,2664,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,
V100_P1_NANO_I05_R05,study_runs/V100_P1_NANO_I05_R05/checkpoint/77cee7c143e54342a6d595c53dab704e/code.py,3531,True,15001,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,"[42, 7, 123, 999, 2024]"
V100_P1_NANO_I05_R05,study_runs/V100_P1_NANO_I05_R05/checkpoint/98faa0d39dee486eb4051a7b9161c863/code.py,3808,True,2684,True,True,True,True,True,False,False,False,True,False,False,True,False,False,False,"[42, 7, 123, 999, 2024]"
V100_P1_NANO_I05_R05,study_runs/V100_P1_NANO_I05_R05/checkpoint/ba0fa73efc944c45a3c010b47ec9e66e/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R05,study_runs/V100_P1_NANO_I05_R05/checkpoint/ea772fb62ca04abfaff9d848a17f876b/code.py,4199,True,1695,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,"[42, 7, 123, 999, 2024]"
V100_P1_NANO_I05_R05,study_runs/V100_P1_NANO_I05_R05/checkpoint/ea772fb62ca04abfaff9d848a17f876b_iteration1/code.py,305,True,49,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,
V100_P1_NANO_I05_R05,study_runs/V100_P1_NANO_I05_R05/checkpoint/ea772fb62ca04abfaff9d848a17f876b_iteration2/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R05,study_runs/V100_P1_NANO_I05_R05/checkpoint/ea772fb62ca04abfaff9d848a17f876b_seed/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R04,study_runs/V100_P1_NANO_I05_R04/checkpoint/4ea83e57bd63412ebe4ad84854db3d2d/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R04,study_runs/V100_P1_NANO_I05_R04/checkpoint/5880ed12fc7e45c5b4e17b8a4de6c6bd/code.py,3251,True,3059,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R04,study_runs/V100_P1_NANO_I05_R04/checkpoint/8fdabbdc2e6748ee99079d56c28cc80e/code.py,4297,True,3087,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R04,study_runs/V100_P1_NANO_I05_R04/checkpoint/a27155e95ef34d039705effaacd940bf/code.py,2443,True,2665,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,
V100_P1_NANO_I05_R04,study_runs/V100_P1_NANO_I05_R04/checkpoint/ae8c3e2c8ff2442fa41d98ea422dadf2/code.py,2808,True,2931,True,True,True,True,True,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R04,study_runs/V100_P1_NANO_I05_R04/checkpoint/ae8c3e2c8ff2442fa41d98ea422dadf2_iteration1/code.py,2808,True,2933,True,True,True,True,True,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R04,study_runs/V100_P1_NANO_I05_R04/checkpoint/ae8c3e2c8ff2442fa41d98ea422dadf2_iteration2/code.py,5551,True,2346,False,True,True,True,False,False,False,False,True,True,True,True,True,False,False,"[42, 7, 123, 999, 2024]"
V100_P1_NANO_I05_R04,study_runs/V100_P1_NANO_I05_R04/checkpoint/ae8c3e2c8ff2442fa41d98ea422dadf2_seed/code.py,2808,True,2931,True,True,True,True,True,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R04,study_runs/V100_P1_NANO_I05_R04/checkpoint/ca184fa090bc4a638c5cc183bb75cbd2/code.py,65,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R04,study_runs/V100_P1_NANO_I05_R04/checkpoint/d86c6f0c37c84c99ab783b21a1893882/code.py,4123,True,3097,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R03,study_runs/V100_P1_NANO_I05_R03/checkpoint/6f1d0f4e2ffa4fdd96f993603e136fa2/code.py,131,True,49,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R03,study_runs/V100_P1_NANO_I05_R03/checkpoint/7365a8beb6ee4029b5ae1b99cfe9a957/code.py,3763,True,1356,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R03,study_runs/V100_P1_NANO_I05_R03/checkpoint/8676fcf9d5a649d1a9d6d65edaa7437e/code.py,2975,True,27661,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R03,study_runs/V100_P1_NANO_I05_R03/checkpoint/8676fcf9d5a649d1a9d6d65edaa7437e_iteration1/code.py,157,True,49,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R03,study_runs/V100_P1_NANO_I05_R03/checkpoint/8676fcf9d5a649d1a9d6d65edaa7437e_iteration2/code.py,7819,True,1355,False,True,True,True,False,False,False,False,True,True,False,True,True,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R03,study_runs/V100_P1_NANO_I05_R03/checkpoint/8676fcf9d5a649d1a9d6d65edaa7437e_seed/code.py,2975,True,27661,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R03,study_runs/V100_P1_NANO_I05_R03/checkpoint/af4eb4168ba0475fa720b6326b0f54cc/code.py,3412,True,1436,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R03,study_runs/V100_P1_NANO_I05_R03/checkpoint/d1f56c2275b34ba383c6bb1c40e6e642/code.py,3588,True,2860,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R03,study_runs/V100_P1_NANO_I05_R03/checkpoint/e4f084130c49428fb4b9b62b0d10f0ee/code.py,7067,True,873,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R03,study_runs/V100_P1_NANO_I05_R03/checkpoint/eac6baf5105942dc8d6dd201cdca4272/code.py,4324,True,1030,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R02,study_runs/V100_P1_NANO_I05_R02/checkpoint/2c90355f128f45a9978c71cbc8027819/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R02,study_runs/V100_P1_NANO_I05_R02/checkpoint/2c90355f128f45a9978c71cbc8027819_iteration1/code.py,9310,True,11481,False,False,False,True,True,False,False,False,False,True,True,True,True,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R02,study_runs/V100_P1_NANO_I05_R02/checkpoint/2c90355f128f45a9978c71cbc8027819_iteration2/code.py,85,True,49,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R02,study_runs/V100_P1_NANO_I05_R02/checkpoint/2c90355f128f45a9978c71cbc8027819_seed/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R02,study_runs/V100_P1_NANO_I05_R02/checkpoint/37c0775b6dca4993a0cf77c7a347e61b/code.py,9492,True,1895,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R02,study_runs/V100_P1_NANO_I05_R02/checkpoint/39b2b05dfd60419683b3976abf10082a/code.py,3820,True,3266,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,"[1001, 2002, 3003, 4004, 5005]"
V100_P1_NANO_I05_R02,study_runs/V100_P1_NANO_I05_R02/checkpoint/3fdb417208cc4974ac1981132e1c4b6f/code.py,8280,True,1199,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,"[1001, 2002, 3003, 4004, 5005]"
V100_P1_NANO_I05_R02,study_runs/V100_P1_NANO_I05_R02/checkpoint/401e11df85cb4e67ad5a8e3f5e3b9b62/code.py,4649,True,1946,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,"[1001, 2002, 3003, 4004, 5005]"
V100_P1_NANO_I05_R02,study_runs/V100_P1_NANO_I05_R02/checkpoint/bd73efc9cdab45709d3c1be3a3a740ed/code.py,4221,True,3243,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R02,study_runs/V100_P1_NANO_I05_R02/checkpoint/fb28f4b4739d4ea9887ddba29d25f141/code.py,5129,True,2351,False,True,True,True,True,False,False,False,True,False,False,False,True,False,False,"[1001, 2002, 3003, 4004, 5005]"
V100_P1_NANO_I05_R01,study_runs/V100_P1_NANO_I05_R01/checkpoint/3b4cabf830f444f891472b9b753af650/code.py,5073,True,1043,True,True,True,True,False,True,False,False,True,False,False,False,True,False,False,"[101, 202, 303, 404, 505]"
V100_P1_NANO_I05_R01,study_runs/V100_P1_NANO_I05_R01/checkpoint/47a7cea2b5264a00867ae995e92e95f1/code.py,166,True,128,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R01,study_runs/V100_P1_NANO_I05_R01/checkpoint/91095a883b894f97bf4b02110d12b880/code.py,2466,True,2665,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,[42]
V100_P1_NANO_I05_R01,study_runs/V100_P1_NANO_I05_R01/checkpoint/a5ac2c0ff24b457bae5445a51708e653/code.py,3994,True,18725,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,"[101, 202, 303, 404, 505]"
V100_P1_NANO_I05_R01,study_runs/V100_P1_NANO_I05_R01/checkpoint/a5ac2c0ff24b457bae5445a51708e653_iteration1/code.py,11227,True,2692,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,"[0, 1, 2, 3, 4]"
V100_P1_NANO_I05_R01,study_runs/V100_P1_NANO_I05_R01/checkpoint/a5ac2c0ff24b457bae5445a51708e653_iteration2/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P1_NANO_I05_R01,study_runs/V100_P1_NANO_I05_R01/checkpoint/a5ac2c0ff24b457bae5445a51708e653_seed/code.py,3994,True,18725,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,"[101, 202, 303, 404, 505]"
V100_P1_NANO_I05_R01,study_runs/V100_P1_NANO_I05_R01/checkpoint/db73e01882ec4d9482a29901e1c1fea5/code.py,3419,True,3099,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,"[101, 202, 303, 404, 505]"
V100_P1_NANO_I05_R01,study_runs/V100_P1_NANO_I05_R01/checkpoint/e9854c7a846546f5b0f633d39fcb3c82/code.py,4030,True,3099,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,"[101, 202, 303, 404, 505] || SEEDS"
V100_P1_NANO_I05_R01,study_runs/V100_P1_NANO_I05_R01/checkpoint/f24ec75a21744db981947386cf39b1d4/code.py,3192,True,3097,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,"[11, 22, 33, 44, 55]"
V100_P0_NANO_I05_R05_FAILED_ENCODING,study_runs/V100_P0_NANO_I05_R05_FAILED_ENCODING/checkpoint/06c95ab15297452f897b862fe3c0937b/code.py,6004,True,177,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,[12345 + i for i in range(5)]
V100_P0_NANO_I05_R05_FAILED_ENCODING,study_runs/V100_P0_NANO_I05_R05_FAILED_ENCODING/checkpoint/0ea1bb0e10f7452db4976cbdbbe6cf88/code.py,8104,True,1234,True,True,False,True,False,False,False,False,True,False,False,True,True,False,False,[12345 + i for i in range(5)]
V100_P0_NANO_I05_R05_FAILED_ENCODING,study_runs/V100_P0_NANO_I05_R05_FAILED_ENCODING/checkpoint/7cfc165e4470472fa50f1c09bc44b601/code.py,7437,True,445,False,False,False,True,True,True,False,False,True,False,True,False,True,False,False,[base_seed + i for i in range(5)]
V100_P0_NANO_I05_R05_FAILED_ENCODING,study_runs/V100_P0_NANO_I05_R05_FAILED_ENCODING/checkpoint/a6ef486ee30344d2a451cd0fc361fa1c/code.py,3886,True,914,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,"[123, 42, 7, 999, 555]"
V100_P0_NANO_I05_R05_FAILED_ENCODING,study_runs/V100_P0_NANO_I05_R05_FAILED_ENCODING/checkpoint/bba1cdc8d7a442cba9b557df959de3e0/code.py,8916,True,1073,True,True,False,True,True,True,False,False,True,False,False,True,True,False,False,"[0, 1, 2, 3, 4]"
V100_P0_NANO_I05_R05_FAILED_ENCODING,study_runs/V100_P0_NANO_I05_R05_FAILED_ENCODING/checkpoint/bec77e6418724bfba6401700bd54e08b/code.py,843,True,243,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,
V100_P0_NANO_I05_R05_FAILED_ENCODING,study_runs/V100_P0_NANO_I05_R05_FAILED_ENCODING/checkpoint/d864b5380c18428db014409543aa4c0d/code.py,3380,True,1415,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,"[123, 42, 7, 999, 555]"
V100_P0_NANO_I05_R05,study_runs/V100_P0_NANO_I05_R05/checkpoint/14beb724464b43b4905b1dec47bc8b12/code.py,4483,True,513,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,"[0,1,2,3,4]"
V100_P0_NANO_I05_R05,study_runs/V100_P0_NANO_I05_R05/checkpoint/2397a4fed26e46eeacb4810f22e22335/code.py,4008,True,3080,True,True,True,True,True,False,False,False,True,False,False,True,False,False,False,"[42, 123, 7, 99, 2024]"
V100_P0_NANO_I05_R05,study_runs/V100_P0_NANO_I05_R05/checkpoint/2786e52f993e4f2599f4911f55149498/code.py,8512,True,1176,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,"[42, 123, 999, 2024, 7]"
V100_P0_NANO_I05_R05,study_runs/V100_P0_NANO_I05_R05/checkpoint/78db94a53eae45c0a446c4f86c2c0efb/code.py,190,True,52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P0_NANO_I05_R05,study_runs/V100_P0_NANO_I05_R05/checkpoint/78db94a53eae45c0a446c4f86c2c0efb_iteration1/code.py,11352,True,1046,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,
V100_P0_NANO_I05_R05,study_runs/V100_P0_NANO_I05_R05/checkpoint/78db94a53eae45c0a446c4f86c2c0efb_iteration2/code.py,14277,True,226,False,True,False,True,False,True,True,True,True,True,True,True,True,False,False,"[42, 123, 999, 7, 2024] || sorted(sub['seed'].unique())"
V100_P0_NANO_I05_R05,study_runs/V100_P0_NANO_I05_R05/checkpoint/78db94a53eae45c0a446c4f86c2c0efb_seed/code.py,190,True,52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P0_NANO_I05_R05,study_runs/V100_P0_NANO_I05_R05/checkpoint/8d2411dc05cd47918a939cb4865fa049/code.py,3323,True,3079,True,True,True,True,False,False,False,False,False,True,False,True,True,False,False,"[42, 123, 7, 99, 2024]"
V100_P0_NANO_I05_R05,study_runs/V100_P0_NANO_I05_R05/checkpoint/961d5f9febae499fa6037ebdd89d6c7c/code.py,7246,True,20223,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,"[101, 202, 303, 404, 505]"
V100_P0_NANO_I05_R05,study_runs/V100_P0_NANO_I05_R05/checkpoint/e3afd2d32d4d490cbe1059b23c2d0f95/code.py,4176,True,3060,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,"[42, 123, 999, 2024, 7]"
V100_P0_NANO_I05_R04,study_runs/V100_P0_NANO_I05_R04/checkpoint/3b4ae39deb8149c993ec76ca773da586/code.py,232,True,58,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P0_NANO_I05_R04,study_runs/V100_P0_NANO_I05_R04/checkpoint/3b4ae39deb8149c993ec76ca773da586_iteration1/code.py,6857,True,3276,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,"[42, 1234, 2021, 7, 999]"
V100_P0_NANO_I05_R04,study_runs/V100_P0_NANO_I05_R04/checkpoint/3b4ae39deb8149c993ec76ca773da586_iteration2/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P0_NANO_I05_R04,study_runs/V100_P0_NANO_I05_R04/checkpoint/3b4ae39deb8149c993ec76ca773da586_seed/code.py,232,True,58,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P0_NANO_I05_R04,study_runs/V100_P0_NANO_I05_R04/checkpoint/3ecc62b455c7443d92d0437c91edc6ee/code.py,4962,True,3274,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,"[42, 123, 777, 2020, 9999] || [int(x[0]) for x in per_seed]"
V100_P0_NANO_I05_R04,study_runs/V100_P0_NANO_I05_R04/checkpoint/8257a3aa26de45f0a984d1d96ef0e882/code.py,485,True,49,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,
V100_P0_NANO_I05_R04,study_runs/V100_P0_NANO_I05_R04/checkpoint/9642759e08674a6b860c0e23aed29c86/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P0_NANO_I05_R04,study_runs/V100_P0_NANO_I05_R04/checkpoint/9c3a7837378b4a1f92dd80946bf44879/code.py,4475,True,1563,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,"[42, 123, 777, 2020, 9999]"
V100_P0_NANO_I05_R04,study_runs/V100_P0_NANO_I05_R04/checkpoint/ac16e7ee948c45acaf67b8fe85aeee61/code.py,2972,True,2940,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,"[0, 1, 2, 3, 4]"
V100_P0_NANO_I05_R04,study_runs/V100_P0_NANO_I05_R04/checkpoint/f107f507af2a444b80ef29f76ee8fa68/code.py,7312,True,2722,True,True,False,True,True,False,False,False,True,False,False,False,True,False,False,"[42, 123, 777, 2020, 9999]"
V100_P0_NANO_I05_R03_FAILED_ENCODING,study_runs/V100_P0_NANO_I05_R03_FAILED_ENCODING/checkpoint/8eb64cee5522418d95327cda648d6d56/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P0_NANO_I05_R03_FAILED_ENCODING,study_runs/V100_P0_NANO_I05_R03_FAILED_ENCODING/checkpoint/f46abc3a273745359a4118d8875a3ca0/code.py,4116,True,3137,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,"[0, 1, 2, 3, 4] || s,"
V100_P0_NANO_I05_R03_FAILED_ENCODING,study_runs/V100_P0_NANO_I05_R03_FAILED_ENCODING/checkpoint/f5a9b25ca5d54182b12872d8bc09948c/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P0_NANO_I05_R03,study_runs/V100_P0_NANO_I05_R03/checkpoint/486290c3b99d4bf2b034fa3fe742687a/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P0_NANO_I05_R03,study_runs/V100_P0_NANO_I05_R03/checkpoint/4e0b53f4ed7545aa9e894ae21133ab32/code.py,4116,True,2979,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,set() || _generate_seeds(5)
V100_P0_NANO_I05_R03,study_runs/V100_P0_NANO_I05_R03/checkpoint/8d9208e09373435ba578757c5b440ede/code.py,4913,True,205,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,set() || _generate_seeds(5)
V100_P0_NANO_I05_R03,study_runs/V100_P0_NANO_I05_R03/checkpoint/8d9208e09373435ba578757c5b440ede_iteration1/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P0_NANO_I05_R03,study_runs/V100_P0_NANO_I05_R03/checkpoint/8d9208e09373435ba578757c5b440ede_iteration2/code.py,20294,True,465,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,"[101, 202, 303, 404, 505]"
V100_P0_NANO_I05_R03,study_runs/V100_P0_NANO_I05_R03/checkpoint/8d9208e09373435ba578757c5b440ede_seed/code.py,4913,True,205,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,set() || _generate_seeds(5)
V100_P0_NANO_I05_R03,study_runs/V100_P0_NANO_I05_R03/checkpoint/a6f72ebb959b4052aaaea5e72863ba3a/code.py,3815,True,3184,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,"[111, 222, 333, 444, 555]"
V100_P0_NANO_I05_R03,study_runs/V100_P0_NANO_I05_R03/checkpoint/a97a1f97436f49a0a5af44b32a2bcff3/code.py,4590,True,1120,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,set() || _generate_seeds(5)
V100_P0_NANO_I05_R03,study_runs/V100_P0_NANO_I05_R03/checkpoint/c2fc1e3012ca49f3b92a8e1a68f1633c/code.py,5055,True,1340,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,"[42, 123, 999, 2024, 7]"
V100_P0_NANO_I05_R03,study_runs/V100_P0_NANO_I05_R03/checkpoint/f296a4292c7e41d99f0f316c7fbc1938/code.py,4047,True,3160,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,"[111, 222, 333, 444, 555]"
V100_P0_NANO_I05_R02,study_runs/V100_P0_NANO_I05_R02/checkpoint/18b7f6bec8674f31bade4bbe0b7b00d1/code.py,2,True,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
V100_P0_NANO_I05_R02,study_runs/V100_P0_NANO_I05_R02/checkpoint/6a0cf4c7c8ae4eb38239a2d32552fcef/code.py,8323,True,971,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,"[101, 202, 303, 404, 505]"
